1001Intro. to CompSci   4ALBERT, PETER A.    Comp Info System    A
1001Intro. to CompSci   4ALLENSON, SHEILA M. Comp Info System    B
1001Intro. to CompSci   4ANDERSON, ALENE T.  Comp Info System    A
1001Intro. to CompSci   4HENDRIX, JAMES D.   Lib Arts - MIS      C
1001Intro. to CompSci   4CANNON, FREDDY B.B. Comp Info System    B
1002Visual Basic        3ALBERT, PETER A.    Comp Info System    C
1002Visual Basic        3ALLENSON, SHEILA M. Comp Info System    D
1002Visual Basic        3ANDERSON, ALENE T.  Comp Info System    A
1002Visual Basic        3HENDRIX, JAMES D.   Lib Arts - MIS      B
1002Visual Basic        3CANNON, FREDDY B.B. Comp Info System    B
1003Cisco Networking I  4ALBERT, PETER A.    Comp Info System    C
1003Cisco Networking I  4ALLENSON, SHEILA M. Comp Info System    A
1003Cisco Networking I  4ANDERSON, ALENE T.  Comp Info System    A
1003Cisco Networking I  4HENDRIX, JAMES D.   Lib Arts - MIS      D
1004Cisco Networking III3ALBERT, PETER A.    Comp Info System    B
1004Cisco Networking III3ALLENSON, SHEILA M. Comp Info System    C
1004Cisco Networking III3ANDERSON, ALENE T.  Comp Info System    A
1004Cisco Networking III3CANNON, FREDDY B.B. Comp Info System    B
1004Cisco Networking III3HELLER, HELEN H.    Lib Arts - MIS      A
1004Cisco Networking III3HENDRIX, JAMES D.   Lib Arts - MIS      F
